stage_id,stage_name,purpose,primary_system,ui_action,automation_hook,evidence_path,owner,status
HP_STAGE_INTAKE,Request intake,Capture workload role site count and approval context,OSDC Portal,Create request preview,portal-request-preview,docs/hardware/hardware-provisioning.md,platform-owner,pilot
HP_STAGE_SOURCE_OF_TRUTH,Source of truth reservation,Reserve site rack power network IP and asset identity,NetBox,Reserve inventory and IPAM record,netbox-reserve-device,docs/architecture/system-ui-connectors.md,hardware-owner,template
HP_STAGE_BMC_DISCOVERY,BMC discovery,Discover Redfish or OpenBMC endpoint and verify power control,Redfish OpenBMC,Validate BMC credentials and firmware inventory,redfish-discover,docs/hardware/hardware-provisioning.md,hardware-owner,template
HP_STAGE_COMMISSIONING,Commissioning and burn-in,Run memory disk NIC thermal and accelerator validation,MAAS Ironic or Tinkerbell,Run commissioning test suite,hardware-burnin,docs/hardware/hardware-provisioning.md,hardware-owner,template
HP_STAGE_FIRMWARE,Firmware baseline,Apply approved BIOS BMC NIC SSD and GPU firmware baseline,Redfish OpenBMC,Stage firmware update with rollback,firmware-baseline,docs/hardware/hardware-provisioning.md,hardware-owner,template
HP_STAGE_NETWORK,Network attachment,Apply switch port VLAN PXE BMC storage and tenant network policy,NetBox + Switch API,Open network change request,network-attach,docs/network-commercial/customer-demarcation.md,network-owner,template
HP_STAGE_IMAGE,Image deployment,Deploy OS image with cloud-init and secure boot policy,MAAS Ironic Metal3 or Tinkerbell,Deploy selected image,provision-image,docs/hardware/hardware-provisioning.md,platform-owner,template
HP_STAGE_SECURITY,Security enrolment,Enroll host into Wazuh OpenBao SSH CA monitoring and vulnerability scan,Wazuh + OpenBao,Enroll security agents and keys,security-enroll,docs/security/open-threat-management-and-scanner.md,security-owner,template
HP_STAGE_PLATFORM_HANDOFF,Platform handoff,Register host into OpenStack Kubernetes Ceph or data platform pool,OpenStack Kubernetes Ceph,Join target pool,platform-handoff,docs/hardware/hardware-provisioning.md,cloud-owner,template
HP_STAGE_ACCEPTANCE,Acceptance evidence,Attach burn-in scan monitoring and owner approval evidence,OSDC Assurance,Close request with evidence bundle,assurance-closeout,docs/process/assurance-automation-runbook.md,platform-owner,template
